artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,energy_scaled,valence_scaled,tempo_scaled,danceability_scaled,loudness_scaled
KRANE,4ComqXoaG5H09VBkknoklg,Monarch - Blush Remix,0.00949,0.742,253714,0.946,0.162,7,0.154,-3.424,1,0.115,140.046,4,0.258,0,1.4464659231176789,-0.7016057452734782,0.6860182788216815,0.8510068065362988,1.0036016565620358
Tedashii,0BYnII68HNa5VjeQru6Zrf,Gotta Live,0.0281,0.561,227993,0.852,0.0,7,0.0999,-4.697,1,0.104,146.929,4,0.492,55,1.086468679198028,0.2009859286490502,0.9137997377102085,-0.10076814790898775,0.8096288955416274
Moneybagg Yo,0pmZzSLz51nVsraBehOPvI,FEBRUARY (feat. Jeezy),0.00421,0.772,164493,0.424,0.0,11,0.141,-9.556,0,0.203,143.111,4,0.252,41,-0.5526677080105945,-0.724749121527902,0.7874493657740763,1.0087595614167333,0.06924111408195453
Neil Diamond,78KWro7SAflYwI1xkVAu98,Dry Your Eyes,0.293,0.433,203613,0.7440000000000001,0.0002279999999999,4,0.1689999999999999,-6.299,1,0.0296,91.317,4,0.61,17,0.6728548244818341,0.6561389949860518,-0.926587083691615,-0.7738465687321744,0.5655249182009408
The VenomKing,37d6eRHG5omPJiPV5fBaPu,Shine,0.141,0.6829999999999999,267508,0.85,0.00106,9,0.603,-5.412000000000001,1,0.248,144.045,4,0.321,0,1.0788091633699504,-0.4586002946020282,0.8183585452890965,0.5407597219381111,0.7006811153926941
Sumwun,27Zp4clfhVk3Qx9TwCwZ97,Out West,0.5870000000000001,0.7170000000000001,86334,0.103,0.8029999999999999,11,0.111,-10.601,0,0.0925,88.98899999999999,4,0.39,51,-1.7820199984170615,-0.19245146767615443,-1.0036283790995026,0.7195461774692707,-0.08999025690494802
Ron Gallo,6jEkkP2CKcSoL0bndub9gF,I'm on the Guestlist,0.866,0.7659999999999999,237278,0.367,0.0452,0,0.118,-10.938,1,0.0569,134.21200000000002,4,0.268,19,-0.7709639091108083,-0.6630334515161052,0.49295173354263755,0.9772090104406458,-0.14134046936675285
IDLES,1uihOJbHkJJlDwUUOa0yqu,Danny Nedelko,0.000274,0.207,204844,0.931,0.00387,6,0.243,-4.452,1,0.083,204.227,4,0.324,45,1.3890195544070967,-0.44702860647481635,2.809981930270837,-1.962250655498113,0.8469606523758773
Only One Felipe,1bN6WU7BMNeuy3woCvOp50,Pocket,0.000957,0.878,141893,0.848,0.0,6,0.135,-4.428999999999999,0,0.33,140.035,4,0.91,7,1.0711496475418727,1.8133078077072422,0.6856542520822114,1.5661526286609344,0.8504652662827661
Howiewonder,4oM7icM9UTimjuevHviIxv,Like You,0.93,0.711,112920,0.581,0.867,6,0.495,-8.981,0,0.348,170.063,4,0.708,34,0.04860428449350294,1.0341474738083072,1.679381064156115,0.6879956264931832,0.1568564617541734
Larry Heard,6BguXR7L3Z2MWgnS2f41e8,Burning 4 You,4.63e-05,0.816,555308,0.657,2.4100000000000003e-05,1,0.0863,-8.884,0,0.0532,123.006,4,0.8759999999999999,32,0.3396658859604549,1.6821620089321736,0.1221077660422984,1.240130268574703,0.17163678997018245
Los Grey's,2oUnjBm4P3vaEs1rdywDF2,Reza Por Mi,0.256,0.645,193097,0.298,0.0002189999999999,7,0.153,-13.517,1,0.0379,82.007,4,0.3979999999999999,6,-1.0352172051794881,-0.16159363267025642,-1.2346860786432612,0.3409395657562281,-0.5343143504913661
Diego Ojeda,3hilXgSYt7v3XXCnvbWEEX,Incendio,0.299,0.575,298222,0.63,0.0,6,0.1369999999999999,-7.791,1,0.0512,149.878,4,0.396,19,0.23626242228140618,-0.16930809142173062,1.0113919972281893,-0.02715019563145226,0.3381821378062439
King Taper,6MsGm6P4u6XI1lJ92i8XoP,En Fuego,0.00446,0.672,182831,0.509,0.0,10,0.1639999999999999,-5.867000000000001,0,0.042,129.967,4,0.132,0,-0.22713828531729321,-1.1876166466163782,0.3524705054470692,0.48291704514861905,0.631350709843373
Huez,0DYs93wkIAIY45njqjPaR1,City Nights,0.606,0.556,106998,0.187,0.899,11,0.111,-12.762,1,0.0688,137.657,3,0.0398,10,-1.460320333637799,-1.5432531950593573,0.6069582896767322,-0.12706027372239348,-0.4192715896348005
Dashboard Confessional,4NEAoEh4hZF1Tgp1QXrUHC,Heart Beat Here,0.21,0.568,207200,0.302,0.0,6,0.104,-7.817,1,0.0281,83.413,1,0.214,53,-1.0198981735233328,-0.8713238378059195,-1.188156842670972,-0.0639591717702203,0.3342204003462827
Cumbias Tropicales,6jWkTTToTJ5tmjxE5VgFlz,A Bailar Charanga,0.162,0.8009999999999999,217347,0.564,0.0,5,0.0909,-10.009,1,0.0675,135.97,4,0.928,0,-0.016501600045157366,1.882737936470514,0.5511298251779747,1.161253891134486,0.00021545756801488494
Johann Sebastian Bach,5XW1wtk1gI4mSq0RqLoLZC,"Ich liebe Jesum alle Stund, BWV 468",0.952,0.375,121267,0.214,0.0,5,0.14,-15.005,1,0.0564,128.111,4,0.1889999999999999,2,-1.3569168699587506,-0.9677545721993525,0.2910492664964502,-1.0788352281676807,-0.7610476328152999
Johann Sebastian Bach,2nlivNJVWnEpHUNrn4oKyY,"St. Matthew Passion, BWV 244, Pt. 1: No. 1, Kommt, ihr Töchter, helft mir klagen",0.966,0.172,453573,0.148,0.925,3,0.106,-19.521,0,0.037,149.13,3,0.146,27,-1.6096808922853136,-1.133615435356056,0.986638178944212,-2.146295536191953,-1.449170954707023
Sody,76vWvM44jeCgBKryBaLcqe,Let You Know,0.5660000000000001,0.674,190072,0.449,0.0,4,0.133,-6.706,0,0.0317,123.932,4,0.159,59,-0.4569237601596235,-1.083471453471471,0.1527521988377039,0.49343389547398137,0.5035084895007788
FRSH KEPT,5qekA2Y7EiewRzFBOyBygJ,Know Me,0.0175,0.456,154504,0.737,0.0,3,0.173,-5.609,1,0.0898,99.833,4,0.384,12,0.6460465190835618,-0.21559484393057826,-0.6447642006617305,-0.652902789990508,0.6706633354076036
Tee Grizzley,2hc5T3WphxOr3VbiuqmuiC,Get Right,0.00881,0.631,167660,0.527,1.06e-05,11,0.221,-7.426,0,0.376,184.033,4,0.299,49,-0.15820264286459407,-0.543459340868249,2.141695023283344,0.267321613478692,0.3937988367633916
Xantos,6p4w1myQ4ZPE4IrMMU57NU,Tengo Más Tiempo,0.675,0.754,232883,0.7170000000000001,0.000302,0,0.265,-5.486000000000001,1,0.397,79.025,4,0.565,17,0.5694513608027854,0.482563673077873,-1.3333704183796533,0.9141079084884726,0.6894054010835738
Smerz,1shEDBwt42eebjCHN2kKp8,Oh my my,0.6920000000000001,0.542,158545,0.335,0.000939,9,0.143,-11.088,1,0.314,131.362,4,0.318,35,-0.893516162360051,-0.47017198272924016,0.39863571467988784,-0.20067822599992954,-0.16419664702037498
